platform,platform_name,title_zh,title_en,title_ja,release_date,release_date_na,release_date_pal,publisher,wiki_url,publisher_wiki_url
NES,Nintendo Entertainment System,十码大战,10-Yard Fight,,1985年10月18日,1985年10月18日,1985年12月,任天堂,https://zh.wikipedia.org/wiki/%E5%8D%81%E7%A0%81%E5%A4%A7%E6%88%98,https://zh.wikipedia.org/wiki/%E4%BB%BB%E5%A4%A9%E5%A0%82
NES,Nintendo Entertainment System,1942,1942,,1986年11月,1986年11月,,卡普空,https://zh.wikipedia.org/wiki/1942_(%E6%B8%B8%E6%88%8F),https://zh.wikipedia.org/wiki/%E5%8D%A1%E6%99%AE%E7%A9%BA
NES,Nintendo Entertainment System,1943 中途岛海战,1943: The Battle of Midway,,1988年10月,1988年10月,,卡普空,https://zh.wikipedia.org/wiki/1943_%E4%B8%AD%E9%80%94%E5%B3%B6%E6%B5%B7%E6%88%B0,https://zh.wikipedia.org/wiki/%E5%8D%A1%E6%99%AE%E7%A9%BA
NES,Nintendo Entertainment System,,3-D WorldRunner,,1987年9月,1987年9月,,Acclaim Entertainment,,
NES,Nintendo Entertainment System,,720°,,1989年11月,1989年11月,,Mindscape,,
NES,Nintendo Entertainment System,,8 Eyes,,1990年1月,1990年1月,,Taxan,,
NES,Nintendo Entertainment System,,Abadox,,1990年3月,1990年3月,1988年4月,Milton Bradley Company,,
NES,Nintendo Entertainment System,,The Addams Family,,1992年1月,1992年1月,1992年12月,Ocean Software,,
NES,Nintendo Entertainment System,,The Addams Family: Pugsley's Scavenger Hunt,,1993年8月,1993年8月,1992年,Ocean Software,,
NES,Nintendo Entertainment System,,Advanced Dungeons & Dragons: DragonStrike,,1992年7月,1992年7月,,FCI,,
NES,Nintendo Entertainment System,,Advanced Dungeons & Dragons: Heroes of the Lance,,1991年1月,1991年1月,,FCI,,
NES,Nintendo Entertainment System,,Advanced Dungeons & Dragons: Hillsfar,,1993年2月,1993年2月,,FCI,,
NES,Nintendo Entertainment System,,Advanced Dungeons & Dragons: Pool of Radiance,,1992年4月,1992年4月,,FCI,,
NES,Nintendo Entertainment System,高桥名人之冒险岛,Adventure Island,,1988年9月,1988年9月,1992年,Hudson Soft,https://zh.wikipedia.org/wiki/%E9%AB%98%E6%A9%8B%E5%90%8D%E4%BA%BA%E4%B9%8B%E5%86%92%E9%9A%AA%E5%B3%B6,https://zh.wikipedia.org/wiki/Hudson_Soft
NES,Nintendo Entertainment System,高桥名人之冒险岛II,Adventure Island II,,1991年2月,1991年2月,1992年7月22日,北美：Hudson Soft欧洲：Hudson Soft澳洲：美泰,https://zh.wikipedia.org/wiki/%E9%AB%98%E6%A1%A5%E5%90%8D%E4%BA%BA%E4%B9%8B%E5%86%92%E9%99%A9%E5%B2%9BII,https://zh.wikipedia.org/wiki/Hudson_Soft
NES,Nintendo Entertainment System,高桥名人之冒险岛III,Adventure Island 3,,1992年9月,1992年9月,,Hudson Soft,https://zh.wikipedia.org/wiki/%E9%AB%98%E6%A1%A5%E5%90%8D%E4%BA%BA%E4%B9%8B%E5%86%92%E9%99%A9%E5%B2%9BIII,https://zh.wikipedia.org/wiki/Hudson_Soft
NES,Nintendo Entertainment System,,Adventures in the Magic Kingdom,,1990年6月,1990年6月,1992年12月10日,卡普空,,https://zh.wikipedia.org/wiki/%E5%8D%A1%E6%99%AE%E7%A9%BA
NES,Nintendo Entertainment System,,The Adventures of Bayou Billy,,1989年6月,1989年6月,1991年1月24日,科乐美,,https://zh.wikipedia.org/wiki/%E7%A7%91%E6%A8%82%E7%BE%8E
NES,Nintendo Entertainment System,新人类,Adventures of Dino Riki,,1989年9月,1989年9月,,Hudson Soft,https://zh.wikipedia.org/wiki/%E6%96%B0%E4%BA%BA%E7%B1%BB_(%E6%B8%B8%E6%88%8F),https://zh.wikipedia.org/wiki/Hudson_Soft
